time,title,company,county,distinct,exeperience,education,wage,url
2023/4/23,Dior-Retail Executive / Supervisor 零售專員 / 主任 (需數據分析及專案管理能力),法國LVMH集團香水化品事業部_香港商法華香水化品有限公司台灣分公司,台北市,大安區,2年以上,大學,45000,https://www.104.com.tw/job/7ur41?jobsource=hotjob_chr
2023/4/23,資料分析師,博弘雲端科技股份有限公司,台北市,中山區,經歷不拘,大學,45000,https://www.104.com.tw/job/7xris?jobsource=jolist_a_relevance
2023/4/23,資料分析專員,上海商業儲蓄銀行股份有限公司,台北市,中山區,2年以上,大學,40650,https://www.104.com.tw/job/7h9sc?jobsource=jolist_a_relevance
2023/4/23,資料分析師 (Data Analyst),亞洲指標數位行銷顧問股份有限公司,台北市,松山區,2年以上,碩士,45000,https://www.104.com.tw/job/6k2x6?jobsource=jolist_a_relevance
2023/4/23,資料分析師,智庫驅動股份有限公司,台北市,信義區,經歷不拘,專科,52500,https://www.104.com.tw/job/7ez67?jobsource=jolist_a_relevance
2023/4/23,數據/資料分析師,雙子數位科技有限公司,台北市,內湖區,3年以上,專科,45000,https://www.104.com.tw/job/6zn74?jobsource=jolist_a_relevance
2023/4/23,資料分析人員,台北富邦商業銀行股份有限公司,台北市,中山區,2年以上,大學,45000,https://www.104.com.tw/job/7qqef?jobsource=jolist_a_relevance
2023/4/23,資料分析師(農漁業),悠由數據應用股份有限公司,台北市,內湖區,經歷不拘,專科,45000,https://www.104.com.tw/job/7jl9x?jobsource=jolist_a_relevance
2023/4/23,資料分析師,新穎資訊有限公司,台中市,北區,1年以上,大學,49000,https://www.104.com.tw/job/7g15x?jobsource=jolist_a_relevance
2023/4/23,ETL 資料分析程式設計師,碩誠國際股份有限公司,台北市,松山區,2年以上,專科,45000,https://www.104.com.tw/job/6f1b4?jobsource=jolist_a_relevance
2023/4/23,資料分析師兼專案管理師-BI,富蘭克林證券投資顧問股份有限公司,台北市,大安區,3年以上,碩士,45000,https://www.104.com.tw/job/7lgpf?jobsource=jolist_a_relevance
2023/4/23,資料分析師,友信行股份有限公司,台北市,大安區,經歷不拘,大學,30000,https://www.104.com.tw/job/7x3iu?jobsource=jolist_a_relevance
2023/4/23,資料分析管理師(data engineer),集雅社影音家電_集雅社股份有限公司,高雄市,苓雅區,經歷不拘,大學,39000,https://www.104.com.tw/job/7wkdo?jobsource=jolist_a_relevance
2023/4/23,[Part Time] 研究助理/資料分析師,IQVIA _艾昆緯藥品資訊股份有限公司,台北市,松山區,經歷不拘,大學,33785,https://www.104.com.tw/job/7rebn?jobsource=jolist_a_relevance
2023/4/23,約聘資料分析師(T67駐點食藥署),關貿網路股份有限公司,台北市,南港區,經歷不拘,碩士,45000,https://www.104.com.tw/job/6f8rs?jobsource=jolist_a_relevance
2023/4/23,資料分析師-BI,富蘭克林證券投資顧問股份有限公司,台北市,大安區,3年以上,大學,60000,https://www.104.com.tw/job/7hw3p?jobsource=jolist_a_relevance
2023/4/23,[台灣大哥大集團]資料分析專員,台灣客服科技股份有限公司,新北市,三重區,1年以上,大學,36000,https://www.104.com.tw/job/7xhj8?jobsource=jolist_a_relevance
2023/4/23,資料分析師,豐卉有限公司,台北市,信義區,1年以上,大學,38000,https://www.104.com.tw/job/7nrvh?jobsource=jolist_a_relevance
2023/4/23,調查研究專題中心-資料分析師,中央研究院_人文社會科學研究中心,台北市,南港區,經歷不拘,碩士,70310,https://www.104.com.tw/job/7xqoj?jobsource=jolist_a_relevance
2023/4/23,資料分析師,星凱國際股份有限公司,高雄市,大寮區,經歷不拘,專科,36500,https://www.104.com.tw/job/7jtoc?jobsource=jolist_a_relevance
2023/4/23,資料分析員,北視有線電視股份有限公司,新竹縣,竹東鎮,1年以上,高中,31000,https://www.104.com.tw/job/7wl8h?jobsource=jolist_a_relevance
2023/4/23,約聘資料分析師(駐點食藥署),關貿網路股份有限公司,台北市,南港區,經歷不拘,碩士,45000,https://www.104.com.tw/job/76wdy?jobsource=jolist_a_relevance
2023/4/23,資料分析師,Phison Electronics Corp_群聯電子股份有限公司,苗栗縣,竹南鎮,2年以上,大學,45000,https://www.104.com.tw/job/7kuit?jobsource=jolist_a_relevance
2023/4/23,數據資料分析,雲酒指數科技股份有限公司,台北市,信義區,經歷不拘,大學,50000,https://www.104.com.tw/job/7yl5l?jobsource=jolist_a_relevance
2023/4/23,資料分析師(T53),關貿網路股份有限公司,台北市,南港區,2年以上,大學,45000,https://www.104.com.tw/job/5cdpt?jobsource=jolist_a_relevance
2023/4/23,資料分析管理師,聚恆科技股份有限公司,台南市,永康區,經歷不拘,專科,32500,https://www.104.com.tw/job/7jhpd?jobsource=jolist_a_relevance
2023/4/23,【總公司】資訊部-資料分析專員,OK超商_來來超商股份有限公司,台北市,信義區,經歷不拘,大學,34000,https://www.104.com.tw/job/4jtjx?jobsource=jolist_a_relevance
2023/4/23,資料分析/內容推薦工程師,春水堂科技娛樂股份有限公司,台北市,內湖區,3年以上,大學,45000,https://www.104.com.tw/job/7in95?jobsource=jolist_a_relevance
2023/4/23,資料分析管理師(data engineer),LUCKY M 網路趨勢團隊_統一國際策略有限公司,台北市,大安區,2年以上,大學,38000,https://www.104.com.tw/job/7z018?jobsource=jolist_a_relevance
2023/4/23,資料分析高級工程師,台郡科技股份有限公司(總公司),高雄市,大寮區,經歷不拘,大學,45000,https://www.104.com.tw/job/7pauq?jobsource=jolist_a_relevance
2023/4/23,資料分析專員,台灣奇士美化品股份有限公司,台北市,中山區,1年以上,大學,42500,https://www.104.com.tw/job/7ttpb?jobsource=jolist_a_relevance
